no,word,sign,kind,type,meaning,model
222,cool,JJ,adjective,proper_adjective,,
223,cuddly,JJ,adjective,proper_adjective,,
224,damaged,JJ,adjective,proper_adjective,,
225,damp,JJ,adjective,proper_adjective,,
226,dirty,JJ,adjective,proper_adjective,,
227,dry,JJ,adjective,proper_adjective,,
228,flaky,JJ,adjective,proper_adjective,,
229,fluffy,JJ,adjective,proper_adjective,,
230,freezing,JJ,adjective,proper_adjective,,
231,greasy,JJ,adjective,proper_adjective,,
232,hot,JJ,adjective,proper_adjective,,
233,icy,JJ,adjective,proper_adjective,,
234,loose,JJ,adjective,proper_adjective,,
235,melted,JJ,adjective,proper_adjective,,
236,prickly,JJ,adjective,proper_adjective,,
237,rough,JJ,adjective,proper_adjective,,
238,shaggy,JJ,adjective,proper_adjective,,
239,sharp,JJ,adjective,proper_adjective,,
240,slimy,JJ,adjective,proper_adjective,,
241,sticky,JJ,adjective,proper_adjective,,
242,strong,JJ,adjective,proper_adjective,,
243,tight,JJ,adjective,proper_adjective,,
244,uneven,JJ,adjective,proper_adjective,,
245,warm,JJ,adjective,proper_adjective,,
246,weak,JJ,adjective,proper_adjective,,
247,wet,JJ,adjective,proper_adjective,,
248,wooden,JJ,adjective,proper_adjective,,
249,abundant,JJ,adjective,quantity,,
250,billions,JJ,adjective,quantity,,
251,enough,JJ,adjective,quantity,,
252,few,JJ,adjective,quantity,,
253,full,JJ,adjective,quantity,,
254,hundreds,JJ,adjective,quantity,,
255,incalculable,JJ,adjective,quantity,,
256,limited,JJ,adjective,quantity,,
257,little,JJ,adjective,quantity,,
258,many,JJ,adjective,quantity,,
259,most,JJ,adjective,quantity,,
260,millions,JJ,adjective,quantity,,
261,numerous,JJ,adjective,quantity,,
262,scarce,JJ,adjective,quantity,,
263,some,JJ,adjective,quantity,,
264,sparse,JJ,adjective,quantity,,
265,substantial,JJ,adjective,quantity,,
266,thousands,JJ,adjective,quantity,,
267,Angular,JJ,adjective,shape,,
268,Bent,JJ,adjective,shape,,
269,Big,JJ,adjective,shape,,
270,Blurry,JJ,adjective,shape,,
271,Broad,JJ,adjective,shape,,
272,Bulbous,JJ,adjective,shape,,
273,Chubby,JJ,adjective,shape,,
274,Clean,JJ,adjective,shape,,
275,Closed,JJ,adjective,shape,,
276,Colossal,JJ,adjective,shape,,
277,Convex,JJ,adjective,shape,,
278,Crooked,JJ,adjective,shape,,
279,Curved,JJ,adjective,shape,,
280,Deep,JJ,adjective,shape,,
281,Fat,JJ,adjective,shape,,
282,Flat,JJ,adjective,shape,,
283,Fuzzy,JJ,adjective,shape,,
284,Gigantic,JJ,adjective,shape,,
285,High,JJ,adjective,shape,,
286,Hollow,JJ,adjective,shape,,
287,Huge,JJ,adjective,shape,,
288,Large,JJ,adjective,shape,,
289,Little,JJ,adjective,shape,,
290,Long,JJ,adjective,shape,,
291,Low,JJ,adjective,shape,,
292,Mammoth,JJ,adjective,shape,,
293,Miniature,JJ,adjective,shape,,
294,Narrow,JJ,adjective,shape,,
295,Oval,JJ,adjective,shape,,
296,Pointy,JJ,adjective,shape,,
297,Punny,JJ,adjective,shape,,
298,Regular,JJ,adjective,shape,,
299,Round,JJ,adjective,shape,,
300,Scrawny,JJ,adjective,shape,,
301,Shallow,JJ,adjective,shape,,
302,Sharp,JJ,adjective,shape,,
303,Short,JJ,adjective,shape,,
304,Skinny,JJ,adjective,shape,,
305,Small,JJ,adjective,shape,,
306,Solid,JJ,adjective,shape,,
307,Square,JJ,adjective,shape,,
308,Steep,JJ,adjective,shape,,
309,Straight,JJ,adjective,shape,,
310,Symmetrical,JJ,adjective,shape,,
311,Tall,JJ,adjective,shape,,
312,Tapered,JJ,adjective,shape,,
313,Teeny,JJ,adjective,shape,,
314,Thick,JJ,adjective,shape,,
315,Tiny,JJ,adjective,shape,,
316,Wide,JJ,adjective,shape,,
317,Ancient,JJ,adjective,age,,
318,Brief,JJ,adjective,age,,
319,Early,JJ,adjective,age,,
320,Fast,JJ,adjective,age,,
321,Late,JJ,adjective,age,,
322,Long,JJ,adjective,age,,
323,Modern,JJ,adjective,age,,
324,Old,JJ,adjective,age,,
325,Quick,JJ,adjective,age,,
326,Rapid,JJ,adjective,age,,
327,Short,JJ,adjective,age,,
328,Slow,JJ,adjective,age,,
329,Afghan,JJ,adjective,Origin,,
330,Albanian,JJ,adjective,Origin,,
331,Algerian,JJ,adjective,Origin,,
332,Argentine,JJ,adjective,Origin,,
333,Argentinian,JJ,adjective,Origin,,
334,Australian,JJ,adjective,Origin,,
335,Austrian,JJ,adjective,Origin,,
336,Bangladeshi,JJ,adjective,Origin,,
337,Belgian,JJ,adjective,Origin,,
338,Bolivian,JJ,adjective,Origin,,
339,Batswana,JJ,adjective,Origin,,
340,Brazilian,JJ,adjective,Origin,,
341,Bulgarian,JJ,adjective,Origin,,
342,Cambodian,JJ,adjective,Origin,,
343,Cameroonian,JJ,adjective,Origin,,
344,Canadian,JJ,adjective,Origin,,
345,Chilean,JJ,adjective,Origin,,
346,Chinese,JJ,adjective,Origin,,
347,Colombian,JJ,adjective,Origin,,
348,Costa Rican,JJ,adjective,Origin,,
349,Croatian,JJ,adjective,Origin,,
350,Cuban,JJ,adjective,Origin,,
351,Czech,JJ,adjective,Origin,,
352,Danish,JJ,adjective,Origin,,
353,Dominican,JJ,adjective,Origin,,
354,Ecuadorian,JJ,adjective,Origin,,
355,Egyptian,JJ,adjective,Origin,,
356,Salvadorian,JJ,adjective,Origin,,
357,English,JJ,adjective,Origin,,
358,Estonian,JJ,adjective,Origin,,
359,Ethiopian,JJ,adjective,Origin,,
360,Fijian,JJ,adjective,Origin,,
361,Finnish,JJ,adjective,Origin,,
362,French,JJ,adjective,Origin,,
363,German,JJ,adjective,Origin,,
364,Ghanaian,JJ,adjective,Origin,,
365,Greek,JJ,adjective,Origin,,
366,Guatemalan,JJ,adjective,Origin,,
367,Haitian,JJ,adjective,Origin,,
368,Honduran,JJ,adjective,Origin,,
369,Hungarian,JJ,adjective,Origin,,
370,Icelandic,JJ,adjective,Origin,,
371,Indian,JJ,adjective,Origin,,
372,Indonesian,JJ,adjective,Origin,,
373,Iranian,JJ,adjective,Origin,,
374,Iraqi,JJ,adjective,Origin,,
375,Irish,JJ,adjective,Origin,,
376,Israeli,JJ,adjective,Origin,,
377,Italian,JJ,adjective,Origin,,
378,Jamaican,JJ,adjective,Origin,,
379,Japanese,JJ,adjective,Origin,,
380,Jordanian,JJ,adjective,Origin,,
381,Kenyan,JJ,adjective,Origin,,
382,Kuwaiti,JJ,adjective,Origin,,
383,Lao,JJ,adjective,Origin,,
384,Latvian,JJ,adjective,Origin,,
385,Lebanese,JJ,adjective,Origin,,
386,Libyan,JJ,adjective,Origin,,
387,Lithuanian,JJ,adjective,Origin,,
388,Malaysian,JJ,adjective,Origin,,
389,Malian,JJ,adjective,Origin,,
390,Maltese,JJ,adjective,Origin,,
391,Mexican,JJ,adjective,Origin,,
392,Mongolian,JJ,adjective,Origin,,
393,Moroccan,JJ,adjective,Origin,,
394,Mozambican,JJ,adjective,Origin,,
395,Namibian,JJ,adjective,Origin,,
396,Nepalese,JJ,adjective,Origin,,
397,Dutch,JJ,adjective,Origin,,
398,New Zealand,JJ,adjective,Origin,,
399,Nicaraguan,JJ,adjective,Origin,,
400,Nigerian,JJ,adjective,Origin,,
401,Norwegian,JJ,adjective,Origin,,
402,Pakistani,JJ,adjective,Origin,,
403,Panamanian,JJ,adjective,Origin,,
404,Paraguayan,JJ,adjective,Origin,,
405,Peruvian,JJ,adjective,Origin,,
406,Philippine,JJ,adjective,Origin,,
407,Polish,JJ,adjective,Origin,,
408,Portuguese,JJ,adjective,Origin,,
409,Romanian,JJ,adjective,Origin,,
410,Russian,JJ,adjective,Origin,,
411,Saudi,JJ,adjective,Origin,,
412,Scottish,JJ,adjective,Origin,,
413,Senegalese,JJ,adjective,Origin,,
414,Serbian,JJ,adjective,Origin,,
415,Singaporean,JJ,adjective,Origin,,
416,Slovak,JJ,adjective,Origin,,
417,South African,JJ,adjective,Origin,,
418,Korean,JJ,adjective,Origin,,
419,Spanish,JJ,adjective,Origin,,
420,Sri Lankan,JJ,adjective,Origin,,
421,Sudanese,JJ,adjective,Origin,,
422,Swedish,JJ,adjective,Origin,,
423,Swiss,JJ,adjective,Origin,,
424,Syrian,JJ,adjective,Origin,,
425,Taiwanese,JJ,adjective,Origin,,
426,Tajikistani,JJ,adjective,Origin,,
427,Thai,JJ,adjective,Origin,,
428,Tongan,JJ,adjective,Origin,,
429,Tunisian,JJ,adjective,Origin,,
430,Turkish,JJ,adjective,Origin,,
431,Ukrainian,JJ,adjective,Origin,,
432,Emirati,JJ,adjective,Origin,,
433,British,JJ,adjective,Origin,,
434,American,JJ,adjective,Origin,,
435,Uruguayan,JJ,adjective,Origin,,
436,Venezuelan,JJ,adjective,Origin,,
437,Vietnamese,JJ,adjective,Origin,,
438,Welsh,JJ,adjective,Origin,,
439,Zambian,JJ,adjective,Origin,,
440,Zimbabwean,JJ,adjective,Origin,,
441,great,JJ,adjective,quality,,
248,plastic,JJ,adjective,proper_adjective,,
